sha,author,message
37514b5ea4e5b980e863ced89d61468b99334c08,JoaoFelipe,#29: Toggle nodes in trial graph with ctrl
a3bc5e9d7bf62cec96823b8886f3e7a303320341,JoaoFelipe,Correct merging of sequences
35181038d449bb434fbc31963e08fa3214916b35,JoaoFelipe,"Merge pull request #28 from gems-uff/function_within_loop_bug

Function within loop bug"
b283fbfd5d7ecc7da6e1c8b60ff082e870dac903,leomurta,Using namespace as key to uniquely identify function calls and flows.
e04da2835bdc2f96674f419d6f650a59daf006e6,leomurta,Merge branch 'master' into function_within_loop_bug
8171c3c8da78fe2f52ca7d57e9796024d809e866,JoaoFelipe,#27: fix first execution bug and starting to collect system environment from windows
725f96b7b3b5e4eac6e87fb593a31ff2782a021f,JoaoFelipe,#24: trial graph working
8eb355f83a219f552d4beb506570cffed5aa8e5d,leomurta,Considering only line number and function name as keys when composing the graph
fec5c4cc42bbc50011865c859b30a49f07acd725,JoaoFelipe,"#24: Separating models from views, adding colors to nodes, aggregating nodes, adding labels to edges"
ccf7bb0c5459bc4499fdf4e039657e86c57009d1,JoaoFelipe,#24: starting to develop nowvis
