author,total,Start of the Week,Deletions,Additions,Commits
leomurta,80,2014-03-01 21:00:00,1049,1230,16
leomurta,80,2014-03-08 21:00:00,0,0,0
leomurta,80,2014-03-15 21:00:00,4,0,1
leomurta,80,2014-03-22 21:00:00,0,0,0
leomurta,80,2014-03-29 21:00:00,0,0,0
leomurta,80,2014-04-05 21:00:00,0,0,0
leomurta,80,2014-04-12 21:00:00,0,0,0
leomurta,80,2014-04-19 21:00:00,0,0,0
leomurta,80,2014-04-26 21:00:00,0,0,0
leomurta,80,2014-05-03 21:00:00,0,0,0
leomurta,80,2014-05-10 21:00:00,12,6,1
leomurta,80,2014-05-17 21:00:00,107,166,6
leomurta,80,2014-05-24 21:00:00,0,0,0
leomurta,80,2014-05-31 21:00:00,0,0,0
leomurta,80,2014-06-07 21:00:00,0,0,0
leomurta,80,2014-06-14 21:00:00,0,0,0
leomurta,80,2014-06-21 21:00:00,0,0,0
leomurta,80,2014-06-28 21:00:00,0,0,0
leomurta,80,2014-07-05 21:00:00,0,0,0
leomurta,80,2014-07-12 21:00:00,0,0,0
leomurta,80,2014-07-19 21:00:00,0,0,0
leomurta,80,2014-07-26 21:00:00,4,10,4
leomurta,80,2014-08-02 21:00:00,0,0,0
leomurta,80,2014-08-09 21:00:00,0,0,0
leomurta,80,2014-08-16 21:00:00,0,0,0
leomurta,80,2014-08-23 21:00:00,0,0,0
leomurta,80,2014-08-30 21:00:00,52,107,2
leomurta,80,2014-09-06 21:00:00,0,0,0
leomurta,80,2014-09-13 21:00:00,0,0,0
leomurta,80,2014-09-20 21:00:00,0,0,0
leomurta,80,2014-09-27 21:00:00,0,0,0
leomurta,80,2014-10-04 21:00:00,0,0,0
leomurta,80,2014-10-11 21:00:00,0,0,0
leomurta,80,2014-10-18 21:00:00,0,0,0
leomurta,80,2014-10-25 22:00:00,0,0,0
leomurta,80,2014-11-01 22:00:00,0,0,0
leomurta,80,2014-11-08 22:00:00,0,0,0
